Date,Opponent,Nuno Total Cmp%,Conte Total Cmp%,Formation
15/08/2021,Manchester City,75.9,,4-3-3
22/08/2021,Wolves,76.9,,4-3-3
29/08/2021,Watford,84.9,,4-2-3-1
11/09/2021,Crystal Palace,76.6,,4-4-2
19/09/2021,Chelsea,82.2,,4-3-2-1
26/09/2021,Arsenal,84.6,,4-3-3
03/10/2021,Aston Villa,80,,4-2-3-1
17/10/2021,Newcastle Utd,84.6,,4-2-3-1
24/10/2021,West Ham,84.7,,4-2-3-1
30/10/2021,Manchester Utd,81.7,,4-2-3-1
07/11/2021,Everton,,83.9,3-4-3
21/11/2021,Leeds United,,77,3-4-3
02/12/2021,Brentford,,75.9,3-4-3
05/12/2021,Norwich City,,83.8,3-4-3
19/12/2021,Liverpool,,77.9,3-5-2
26/12/2021,Crystal Palace,,89.6,3-4-3
28/12/2021,Southampton,,83.1,3-4-3
01/01/2022,Watford,,86.5,3-4-3
19/01/2022,Leicester City,,86.2,3-5-2
23/01/2022,Chelsea,,76.1,4-4-2
09/02/2022,Southampton,,80.1,3-4-3
13/02/2022,Wolves,,81.7,3-4-3
19/02/2022,Manchester City,,80.1,3-4-3
23/02/2022,Burnley,,83.8,3-4-3
26/02/2022,Leeds United,,87.5,3-4-3
07/03/2022,Everton,,88.2,3-4-3
12/03/2022,Manchester Utd,,85.7,3-4-3
16/03/2022,Brighton,,87.2,3-4-3
20/03/2022,West Ham,,88.4,3-4-3
03/04/2022,Newcastle Utd,,89.9,3-4-3
09/04/2022,Aston Villa,,86.5,3-4-3
