Date,Time,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,KP,Pressure %,Pressure Blocks,Dribbles Succ%,Carries PrgDist,Carries Prog,Crs
07/11/2021,14:00,Sun,Away,D,0,0,Everton,0.8,0.5,56,3-4-3,189,208,90.9,228,258,88.4,59,86,68.6,7,26.7,15,68.4,1190,35,8
21/11/2021,16:30,Sun,Home,W,2,1,Leeds United,2,1.1,43,3-4-3,138,160,86.3,151,180,83.9,37,71,52.1,8,32.2,15,40,1161,40,10
02/12/2021,19:30,Thu,Home,W,2,0,Brentford,2.4,0.3,47,3-4-3,162,187,86.6,166,201,82.6,43,82,52.4,8,30.5,21,53.3,874,29,9
05/12/2021,14:00,Sun,Home,W,3,0,Norwich City,1.7,1.6,41,3-4-3,197,218,90.4,135,161,83.9,65,87,74.7,12,24.8,9,58.8,1075,27,3
19/12/2021,16:30,Sun,Home,D,2,2,Liverpool,3.4,1.5,43,3-5-2,140,163,85.9,135,165,81.8,57,87,65.5,9,32.2,17,41.2,882,27,10
26/12/2021,15:00,Sun,Home,W,3,0,Crystal Palace,2.5,0.2,60,3-4-3,223,245,91,270,290,93.1,70,90,77.8,16,34.1,9,50,1426,56,22
28/12/2021,15:00,Tue,Away,D,1,1,Southampton,2.4,0.4,64,3-4-3,211,233,90.6,218,246,88.6,58,95,61.1,15,23.2,15,85.7,1625,59,19
01/01/2022,15:00,Sat,Away,W,1,0,Watford,1.9,0.3,74,3-4-3,300,329,91.2,287,317,90.5,70,98,71.4,15,32.1,8,59.1,2256,79,31
19/01/2022,19:30,Wed,Away,W,3,2,Leicester City,3.7,1.5,52,3-5-2,188,213,88.3,258,288,89.6,77,99,77.8,17,29.1,18,80,1862,49,14
23/01/2022,16:30,Sun,Away,L,0,2,Chelsea,0.4,0.9,35,4-4-2,112,130,86.2,106,132,80.3,44,74,59.5,6,16.2,19,75,824,20,3
09/02/2022,19:45,Wed,Home,L,2,3,Southampton,1.5,2.7,48,3-4-3,152,172,88.4,161,185,87,53,92,57.6,7,23,10,50,738,40,15
13/02/2022,14:00,Sun,Home,L,0,2,Wolves,1.4,1.3,59,3-4-3,205,237,86.5,220,258,85.3,65,90,72.2,12,35.4,12,31.3,1377,46,12
19/02/2022,17:30,Sat,Away,W,3,2,Manchester City,1.8,2.1,29,3-4-3,107,118,90.7,105,119,88.2,40,71,56.3,6,21.9,26,20,719,17,1
23/02/2022,19:30,Wed,Away,L,0,1,Burnley,0.9,1.1,64,3-4-3,216,250,86.4,272,298,91.3,86,117,73.5,12,22.6,17,82.4,1772,40,20
26/02/2022,12:30,Sat,Away,W,4,0,Leeds United,2.4,1.5,51,3-4-3,161,174,92.5,195,210,92.9,61,85,71.8,13,24.4,27,78.1,1115,25,7
07/03/2022,20:00,Mon,Home,W,5,0,Everton,2.9,0.2,55,3-4-3,247,266,92.9,286,310,92.3,54,76,71.1,13,28.5,17,43.5,1348,39,9
12/03/2022,17:30,Sat,Away,L,2,3,Manchester Utd,1.3,1.1,57,3-4-3,217,236,91.9,246,266,92.5,53,83,63.9,7,26.5,13,80,1647,43,17
16/03/2022,19:30,Wed,Away,W,2,0,Brighton,2.4,0.7,52,3-4-3,243,261,93.1,185,212,87.3,64,83,77.1,11,29.7,23,43.8,1329,23,5
20/03/2022,16:30,Sun,Home,W,3,1,West Ham,2.4,0.6,53,3-4-3,238,250,95.2,248,268,92.5,66,97,68,14,30.4,6,77.8,1552,36,9
03/04/2022,16:30,Sun,Home,W,5,1,Newcastle Utd,3.2,0.6,61,3-4-3,196,206,95.1,297,318,93.4,53,80,66.3,17,28.2,9,33.3,1404,36,11
09/04/2022,17:30,Sat,Away,W,4,0,Aston Villa,1,1.6,48,3-4-3,184,198,92.9,164,183,89.6,54,72,75,6,30.4,16,41.2,1110,21,2
