Date,Time,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Total Cmp%,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,Pressure %,Pressure Blocks,Dribbles Succ%,Carries PrgDist,Carries Prog,Crs
15/08/2021,16:30,Sun,Home,W,1,0,Manchester City,1.3,1.9,36,4-3-3,75.9,99,112,88.4,92,111,82.9,41,79,51.9,1,11,28.6,20,60,669,28,6
22/08/2021,14:00,Sun,Away,W,1,0,Wolves,1.5,1.4,43,4-3-3,76.9,136,148,91.9,122,151,80.8,28,63,44.4,0,5,21.8,27,33.3,603,17,5
29/08/2021,14:00,Sun,Home,W,1,0,Watford,0.9,0.6,56,4-2-3-1,84.9,202,218,92.7,187,205,91.2,46,83,55.4,0,9,24.8,21,47.1,1160,44,17
11/09/2021,12:30,Sat,Away,L,0,3,Crystal Palace,0.1,2.4,38,4-4-2,76.6,106,121,87.6,99,114,86.8,36,71,50.7,0,2,19,19,55,585,15,2
19/09/2021,16:30,Sun,Home,L,0,3,Chelsea,0.7,1.9,47,4-3-2-1,82.2,179,206,86.9,155,170,91.2,55,88,62.5,0,6,26.8,23,72.7,703,25,9
26/09/2021,16:30,Sun,Away,L,1,3,Arsenal,1,0.8,54,4-3-3,84.6,186,199,93.5,171,188,91,65,105,61.9,1,9,23.7,9,40,1161,29,11
03/10/2021,14:00,Sun,Home,W,2,1,Aston Villa,1.7,1.1,58,4-2-3-1,80.0,174,194,89.7,158,190,83.2,39,69,56.5,1,12,32.6,14,64,955,28,8
17/10/2021,16:30,Sun,Away,W,3,2,Newcastle Utd,1.6,0.5,63,4-2-3-1,84.6,266,292,91.1,220,252,87.3,49,82,59.8,3,10,40.5,11,46.2,1492,38,9
24/10/2021,14:00,Sun,Away,L,0,1,West Ham,0.7,1.2,61,4-2-3-1,84.7,208,225,92.4,293,321,91.3,58,104,55.8,0,5,30.8,12,50,1396,33,10
30/10/2021,17:30,Sat,Home,L,0,3,Manchester Utd,0.7,1.2,58,4-2-3-1,81.7,228,249,91.6,191,222,86,56,88,63.6,0,6,33.6,12,59.1,1305,35,10
